timestamp,PM25,PM10,NO2
2024-01-01 00:00:00,14.54,35.88,36.71
2024-01-01 01:00:00,11.01,108.94,79.68
2024-01-01 02:00:00,84.81,79.47,83.03
2024-01-01 03:00:00,50.83,74.24,69.68
2024-01-01 04:00:00,34.4,46.91,30.75
2024-01-01 05:00:00,31.47,36.25,83.4
2024-01-01 06:00:00,86.82,87.03,34.27
2024-01-01 07:00:00,81.82,91.4,48.01
2024-01-01 08:00:00,74.19,47.09,62.8
2024-01-01 09:00:00,83.47,85.13,94.73
2024-01-01 10:00:00,45.18,52.04,79.86
2024-01-01 11:00:00,29.03,43.9,52.08
2024-01-01 12:00:00,49.71,75.09,51.91
2024-01-01 13:00:00,59.24,34.37,82.31
2024-01-01 14:00:00,43.93,67.86,123.39
2024-01-01 15:00:00,48.55,74.53,119.67
2024-01-01 16:00:00,34.46,85.05,132.81
2024-01-01 17:00:00,76.73,46.84,114.25
2024-01-01 18:00:00,20.86,45.52,73.34
2024-01-01 19:00:00,48.52,85.19,53.74
2024-01-01 20:00:00,27.02,71.43,149.89
2024-01-01 21:00:00,60.55,24.87,130.47
2024-01-01 22:00:00,15.72,82.4,104.17
2024-01-01 23:00:00,56.74,84.59,126.35
2024-01-02 00:00:00,53.85,27.7,138.84
2024-01-02 01:00:00,32.01,86.3,70.44
2024-01-02 02:00:00,14.93,24.72,135.76
2024-01-02 03:00:00,88.82,104.42,61.81
2024-01-02 04:00:00,47.95,27.48,42.51
2024-01-02 05:00:00,57.58,114.05,74.9
2024-01-02 06:00:00,31.63,96.06,47.23
2024-01-02 07:00:00,24.97,71.07,141.41
2024-01-02 08:00:00,88.92,59.08,138.02
2024-01-02 09:00:00,24.95,63.41,93.95
2024-01-02 10:00:00,60.68,91.84,127.86
2024-01-02 11:00:00,22.71,86.16,30.54
2024-01-02 12:00:00,41.13,59.81,49.04
2024-01-02 13:00:00,88.04,100.29,106.86
2024-01-02 14:00:00,64.24,78.52,69.34
2024-01-02 15:00:00,53.14,117.52,65.27
2024-01-02 16:00:00,56.22,42.97,36.81
2024-01-02 17:00:00,71.11,63.53,105.41
2024-01-02 18:00:00,45.0,25.76,97.5
2024-01-02 19:00:00,24.31,33.85,134.7
2024-01-02 20:00:00,20.33,101.11,45.41
2024-01-02 21:00:00,52.22,118.69,60.09
2024-01-02 22:00:00,29.92,109.93,140.44
2024-01-02 23:00:00,56.31,74.77,79.8
2024-01-03 00:00:00,21.93,80.26,50.66
2024-01-03 01:00:00,20.11,63.8,91.58
2024-01-03 02:00:00,24.45,63.1,65.63
2024-01-03 03:00:00,43.79,31.01,108.06
2024-01-03 04:00:00,47.94,34.6,23.66
2024-01-03 05:00:00,19.16,76.41,65.88
2024-01-03 06:00:00,14.21,61.05,96.03
2024-01-03 07:00:00,75.46,106.98,47.3
2024-01-03 08:00:00,73.12,99.99,83.78
2024-01-03 09:00:00,28.72,24.75,17.03
2024-01-03 10:00:00,36.73,83.8,40.51
2024-01-03 11:00:00,16.48,23.77,110.88
2024-01-03 12:00:00,13.55,114.96,113.62
2024-01-03 13:00:00,26.46,32.23,37.98
2024-01-03 14:00:00,48.0,67.92,146.18
2024-01-03 15:00:00,49.72,93.62,25.28
2024-01-03 16:00:00,37.8,53.96,84.58
2024-01-03 17:00:00,85.13,82.01,120.09
2024-01-03 18:00:00,64.05,106.67,56.28
2024-01-03 19:00:00,68.08,76.71,112.42
2024-01-03 20:00:00,53.93,118.01,106.55
2024-01-03 21:00:00,85.36,39.96,144.6
2024-01-03 22:00:00,47.98,117.71,24.05
2024-01-03 23:00:00,60.42,75.79,64.65
2024-01-04 00:00:00,16.67,118.96,65.51
2024-01-04 01:00:00,45.41,57.42,149.98
2024-01-04 02:00:00,88.24,51.19,121.77
2024-01-04 03:00:00,87.06,102.8,59.45
2024-01-04 04:00:00,67.92,37.67,77.86
2024-01-04 05:00:00,18.14,67.56,95.86
2024-01-04 06:00:00,86.92,22.62,137.57
2024-01-04 07:00:00,21.18,22.42,65.64
2024-01-04 08:00:00,65.58,41.08,61.42
2024-01-04 09:00:00,13.74,75.49,53.22
2024-01-04 10:00:00,87.32,80.63,30.28
2024-01-04 11:00:00,11.66,22.12,63.55
2024-01-04 12:00:00,85.47,72.33,112.09
2024-01-04 13:00:00,15.38,103.51,70.84
2024-01-04 14:00:00,43.71,78.29,19.82
2024-01-04 15:00:00,68.99,114.41,72.17
2024-01-04 16:00:00,20.4,42.92,123.24
2024-01-04 17:00:00,59.91,107.47,51.43
2024-01-04 18:00:00,66.66,36.03,70.31
2024-01-04 19:00:00,81.73,76.85,99.71
2024-01-04 20:00:00,87.6,75.14,87.93
2024-01-04 21:00:00,31.68,21.02,127.65
2024-01-04 22:00:00,54.96,116.04,146.29
2024-01-04 23:00:00,11.82,116.93,119.07
2024-01-05 00:00:00,19.31,80.28,72.09
2024-01-05 01:00:00,15.2,24.06,67.46
2024-01-05 02:00:00,68.53,47.81,149.48
2024-01-05 03:00:00,18.39,63.14,103.16
2024-01-05 04:00:00,84.14,90.29,49.42
2024-01-05 05:00:00,70.07,101.22,118.68
2024-01-05 06:00:00,55.49,71.85,82.97
2024-01-05 07:00:00,36.99,49.05,25.8
2024-01-05 08:00:00,79.41,108.0,73.11
2024-01-05 09:00:00,73.29,83.56,117.58
2024-01-05 10:00:00,48.92,45.33,62.54
2024-01-05 11:00:00,76.87,49.17,137.97
2024-01-05 12:00:00,55.6,71.64,68.4
2024-01-05 13:00:00,42.78,104.32,104.31
2024-01-05 14:00:00,21.31,82.54,36.19
2024-01-05 15:00:00,17.64,50.05,75.98
2024-01-05 16:00:00,66.85,108.9,126.29
2024-01-05 17:00:00,75.72,27.26,142.41
2024-01-05 18:00:00,22.16,44.17,17.17
2024-01-05 19:00:00,80.64,32.2,70.57
2024-01-05 20:00:00,61.7,117.28,56.84
2024-01-05 21:00:00,60.53,105.83,135.71
2024-01-05 22:00:00,81.33,108.43,69.77
2024-01-05 23:00:00,37.46,84.24,78.09
2024-01-06 00:00:00,27.82,108.25,61.86
2024-01-06 01:00:00,25.98,60.46,116.76
2024-01-06 02:00:00,15.8,96.83,93.15
2024-01-06 03:00:00,41.87,111.17,105.38
2024-01-06 04:00:00,20.66,96.67,140.62
2024-01-06 05:00:00,21.02,67.75,119.62
2024-01-06 06:00:00,36.18,65.05,32.34
2024-01-06 07:00:00,48.5,94.79,49.05
2024-01-06 08:00:00,25.24,82.66,139.71
2024-01-06 09:00:00,77.0,60.01,148.13
2024-01-06 10:00:00,31.96,58.78,29.6
2024-01-06 11:00:00,27.92,30.05,105.87
2024-01-06 12:00:00,51.35,38.52,139.09
2024-01-06 13:00:00,71.69,38.95,82.66
2024-01-06 14:00:00,63.94,92.26,119.88
2024-01-06 15:00:00,45.12,38.51,18.14
2024-01-06 16:00:00,33.04,84.7,127.51
2024-01-06 17:00:00,65.19,26.47,48.43
2024-01-06 18:00:00,29.38,53.66,18.47
