timestamp,PM25,PM10,NO2,hour_x,day_x,month_x,weekday_x,traffic_count,hour_y,day_y,month_y,weekday_y,temperature,humidity,wind_speed,hour,day,month,weekday,is_weekend,congestion_level,pollution_level,high_wind,high_humidity,high_temp,traffic_pm25_interaction,traffic_temp_interaction,weather_pollution_interaction,AQI
2024-01-01 00:00:00,14.54,35.88,36.71,0,1,1,Monday,1933,0,1,1,Monday,26.1,60.9,8.1,0,1,1,Monday,0,High,Good,1,0,1,28105.82,50451.3,117.77399999999999,50
2024-01-01 01:00:00,11.01,108.94,79.68,1,1,1,Monday,370,1,1,1,Monday,8.7,64.6,9.8,1,1,1,Monday,0,Low,Good,1,0,0,4073.7,3218.9999999999995,107.89800000000001,50
2024-01-01 02:00:00,84.81,79.47,83.03,2,1,1,Monday,1764,2,1,1,Monday,7.5,88.4,5.4,2,1,1,Monday,0,High,High,0,1,0,149604.84,13230.0,457.97400000000005,150
2024-01-01 03:00:00,50.83,74.24,69.68,3,1,1,Monday,635,3,1,1,Monday,16.0,74.3,8.8,3,1,1,Monday,0,Low,Moderate,1,0,0,32277.05,10160.0,447.30400000000003,100
2024-01-01 04:00:00,34.4,46.91,30.75,4,1,1,Monday,1678,4,1,1,Monday,13.2,69.5,2.2,4,1,1,Monday,0,High,Moderate,0,0,0,57723.2,22149.6,75.68,100
2024-01-01 05:00:00,31.47,36.25,83.4,5,1,1,Monday,379,5,1,1,Monday,26.6,63.0,2.0,5,1,1,Monday,0,Low,Moderate,0,0,1,11927.13,10081.4,62.94,100
2024-01-01 06:00:00,86.82,87.03,34.27,6,1,1,Monday,1455,6,1,1,Monday,32.1,72.7,2.8,6,1,1,Monday,0,High,High,0,0,1,126323.09999999999,46705.5,243.09599999999998,150
2024-01-01 07:00:00,81.82,91.4,48.01,7,1,1,Monday,1771,7,1,1,Monday,17.1,50.8,1.7,7,1,1,Monday,0,High,High,0,0,0,144903.22,30284.100000000002,139.094,150
2024-01-01 08:00:00,74.19,47.09,62.8,8,1,1,Monday,1489,8,1,1,Monday,27.3,52.8,11.9,8,1,1,Monday,0,High,High,1,0,1,110468.91,40649.700000000004,882.861,150
2024-01-01 09:00:00,83.47,85.13,94.73,9,1,1,Monday,709,9,1,1,Monday,27.7,69.1,3.6,9,1,1,Monday,0,Low,High,0,0,1,59180.229999999996,19639.3,300.492,150
2024-01-01 10:00:00,45.18,52.04,79.86,10,1,1,Monday,816,10,1,1,Monday,10.8,29.6,7.4,10,1,1,Monday,0,Medium,Moderate,0,0,0,36866.88,8812.800000000001,334.332,100
2024-01-01 11:00:00,29.03,43.9,52.08,11,1,1,Monday,660,11,1,1,Monday,13.3,62.5,1.1,11,1,1,Monday,0,Low,Good,0,0,0,19159.8,8778.0,31.933000000000003,50
2024-01-01 12:00:00,49.71,75.09,51.91,12,1,1,Monday,291,12,1,1,Monday,15.8,59.1,10.0,12,1,1,Monday,0,Low,Moderate,1,0,0,14465.61,4597.8,497.1,100
2024-01-01 13:00:00,59.24,34.37,82.31,13,1,1,Monday,211,13,1,1,Monday,16.1,48.4,8.5,13,1,1,Monday,0,Low,Moderate,1,0,0,12499.640000000001,3397.1000000000004,503.54,100
2024-01-01 14:00:00,43.93,67.86,123.39,14,1,1,Monday,1959,14,1,1,Monday,15.9,60.8,11.7,14,1,1,Monday,0,High,Moderate,1,0,0,86058.87,31148.100000000002,513.981,100
2024-01-01 15:00:00,48.55,74.53,119.67,15,1,1,Monday,1917,15,1,1,Monday,32.5,25.3,5.5,15,1,1,Monday,0,High,Moderate,0,0,1,93070.34999999999,62302.5,267.025,100
2024-01-01 16:00:00,34.46,85.05,132.81,16,1,1,Monday,1062,16,1,1,Monday,32.3,58.0,7.4,16,1,1,Monday,0,Medium,Moderate,0,0,1,36596.520000000004,34302.6,255.00400000000002,100
2024-01-01 17:00:00,76.73,46.84,114.25,17,1,1,Monday,1068,17,1,1,Monday,29.0,80.2,7.0,17,1,1,Monday,0,Medium,High,0,1,1,81947.64,30972.0,537.11,150
2024-01-01 18:00:00,20.86,45.52,73.34,18,1,1,Monday,975,18,1,1,Monday,13.4,60.1,1.8,18,1,1,Monday,0,Medium,Good,0,0,0,20338.5,13065.0,37.548,50
2024-01-01 19:00:00,48.52,85.19,53.74,19,1,1,Monday,1097,19,1,1,Monday,21.8,46.4,3.5,19,1,1,Monday,0,Medium,Moderate,0,0,0,53226.44,23914.600000000002,169.82000000000002,100
2024-01-01 20:00:00,27.02,71.43,149.89,20,1,1,Monday,812,20,1,1,Monday,15.3,52.9,3.5,20,1,1,Monday,0,Medium,Good,0,0,0,21940.239999999998,12423.6,94.57,50
2024-01-01 21:00:00,60.55,24.87,130.47,21,1,1,Monday,1042,21,1,1,Monday,20.6,86.4,7.5,21,1,1,Monday,0,Medium,High,0,1,0,63093.1,21465.2,454.125,150
2024-01-01 22:00:00,15.72,82.4,104.17,22,1,1,Monday,787,22,1,1,Monday,9.5,43.6,3.1,22,1,1,Monday,0,Low,Good,0,0,0,12371.640000000001,7476.5,48.732000000000006,50
2024-01-01 23:00:00,56.74,84.59,126.35,23,1,1,Monday,1565,23,1,1,Monday,22.9,47.1,6.2,23,1,1,Monday,0,High,Moderate,0,0,0,88798.1,35838.5,351.788,100
2024-01-02 00:00:00,53.85,27.7,138.84,0,2,1,Tuesday,1214,0,2,1,Tuesday,28.2,59.5,9.5,0,2,1,Tuesday,0,Medium,Moderate,1,0,1,65373.9,34234.799999999996,511.575,100
2024-01-02 01:00:00,32.01,86.3,70.44,1,2,1,Tuesday,324,1,2,1,Tuesday,26.2,25.7,10.2,1,2,1,Tuesday,0,Low,Moderate,1,0,1,10371.24,8488.8,326.50199999999995,100
2024-01-02 02:00:00,14.93,24.72,135.76,2,2,1,Tuesday,1168,2,2,1,Tuesday,32.2,65.5,10.9,2,2,1,Tuesday,0,Medium,Good,1,0,1,17438.239999999998,37609.600000000006,162.737,50
2024-01-02 03:00:00,88.82,104.42,61.81,3,2,1,Tuesday,711,3,2,1,Tuesday,17.9,46.5,10.8,3,2,1,Tuesday,0,Low,High,1,0,0,63151.02,12726.9,959.256,150
2024-01-02 04:00:00,47.95,27.48,42.51,4,2,1,Tuesday,310,4,2,1,Tuesday,33.0,46.3,1.4,4,2,1,Tuesday,0,Low,Moderate,0,0,1,14864.5,10230.0,67.13,100
2024-01-02 05:00:00,57.58,114.05,74.9,5,2,1,Tuesday,1201,5,2,1,Tuesday,8.7,73.3,7.3,5,2,1,Tuesday,0,Medium,Moderate,0,0,0,69153.58,10448.699999999999,420.334,100
2024-01-02 06:00:00,31.63,96.06,47.23,6,2,1,Tuesday,1493,6,2,1,Tuesday,9.5,50.5,1.1,6,2,1,Tuesday,0,High,Moderate,0,0,0,47223.59,14183.5,34.793,100
2024-01-02 07:00:00,24.97,71.07,141.41,7,2,1,Tuesday,1986,7,2,1,Tuesday,16.6,89.9,2.7,7,2,1,Tuesday,0,High,Good,0,1,0,49590.42,32967.600000000006,67.419,50
2024-01-02 08:00:00,88.92,59.08,138.02,8,2,1,Tuesday,1625,8,2,1,Tuesday,23.3,71.9,2.0,8,2,1,Tuesday,0,High,High,0,0,0,144495.0,37862.5,177.84,150
2024-01-02 09:00:00,24.95,63.41,93.95,9,2,1,Tuesday,1449,9,2,1,Tuesday,27.1,35.5,0.5,9,2,1,Tuesday,0,High,Good,0,0,1,36152.549999999996,39267.9,12.475,50
2024-01-02 10:00:00,60.68,91.84,127.86,10,2,1,Tuesday,290,10,2,1,Tuesday,24.1,54.0,11.2,10,2,1,Tuesday,0,Low,High,1,0,0,17597.2,6989.0,679.616,150
2024-01-02 11:00:00,22.71,86.16,30.54,11,2,1,Tuesday,483,11,2,1,Tuesday,9.5,58.4,2.9,11,2,1,Tuesday,0,Low,Good,0,0,0,10968.93,4588.5,65.859,50
2024-01-02 12:00:00,41.13,59.81,49.04,12,2,1,Tuesday,1914,12,2,1,Tuesday,13.8,36.9,6.5,12,2,1,Tuesday,0,High,Moderate,0,0,0,78722.82,26413.2,267.345,100
2024-01-02 13:00:00,88.04,100.29,106.86,13,2,1,Tuesday,1437,13,2,1,Tuesday,29.2,81.0,7.7,13,2,1,Tuesday,0,High,High,0,1,1,126513.48000000001,41960.4,677.908,150
2024-01-02 14:00:00,64.24,78.52,69.34,14,2,1,Tuesday,1607,14,2,1,Tuesday,21.3,37.9,3.9,14,2,1,Tuesday,0,High,High,0,0,0,103233.68,34229.1,250.53599999999997,150
2024-01-02 15:00:00,53.14,117.52,65.27,15,2,1,Tuesday,1366,15,2,1,Tuesday,9.0,53.2,9.2,15,2,1,Tuesday,0,Medium,Moderate,1,0,0,72589.24,12294.0,488.888,100
2024-01-02 16:00:00,56.22,42.97,36.81,16,2,1,Tuesday,798,16,2,1,Tuesday,25.5,45.4,8.0,16,2,1,Tuesday,0,Low,Moderate,0,0,1,44863.56,20349.0,449.76,100
2024-01-02 17:00:00,71.11,63.53,105.41,17,2,1,Tuesday,1754,17,2,1,Tuesday,30.4,55.2,1.6,17,2,1,Tuesday,0,High,High,0,0,1,124726.94,53321.6,113.77600000000001,150
2024-01-02 18:00:00,45.0,25.76,97.5,18,2,1,Tuesday,1868,18,2,1,Tuesday,33.7,46.7,4.6,18,2,1,Tuesday,0,High,Moderate,0,0,1,84060.0,62951.600000000006,206.99999999999997,100
2024-01-02 19:00:00,24.31,33.85,134.7,19,2,1,Tuesday,1288,19,2,1,Tuesday,28.1,53.4,10.3,19,2,1,Tuesday,0,Medium,Good,1,0,1,31311.28,36192.8,250.393,50
2024-01-02 20:00:00,20.33,101.11,45.41,20,2,1,Tuesday,1025,20,2,1,Tuesday,16.6,93.0,3.6,20,2,1,Tuesday,0,Medium,Good,0,1,0,20838.25,17015.0,73.188,50
2024-01-02 21:00:00,52.22,118.69,60.09,21,2,1,Tuesday,1512,21,2,1,Tuesday,9.1,78.9,4.4,21,2,1,Tuesday,0,High,Moderate,0,0,0,78956.64,13759.199999999999,229.768,100
2024-01-02 22:00:00,29.92,109.93,140.44,22,2,1,Tuesday,927,22,2,1,Tuesday,7.2,89.7,8.7,22,2,1,Tuesday,0,Medium,Good,1,1,0,27735.84,6674.400000000001,260.304,50
